source,trajectory_id,llm,agent_role,critical_failure_step,critical_failure_module,raw_failure_type,proposed_cluster,proposed_cluster_label,proposed_level,failure_reasoning_text,review_status,review_original_cluster,review_reason
AgentErrorBench,Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,Llama3.3-70B-Turbo,planning,10,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,"Make an low efficient plan that not success, to do a not so relevant task",kept,,
AgentErrorBench,Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,Llama3.3-70B-Turbo,action,2,action,misalignment,N5,Malformed tool parameters,node,"At step 2, the agent's plan was to find and access the first episode of Game Grumps' Sonic the Hedgehog (2006) Let's Play on YouTube to discover the on-screen phrase. However, the action taken was to extract text from the URL 'https://www.youtube.com/watch?v=dQw4w9WgXcQ', which is unrelated (Rick Astley's 'Never Gonna Give You Up'). ",changed,N4,"Agent used url_text_extractor (correct tool type) but supplied dQw4w9WgXcQ (Rick Astley video URL) instead of the Game Grumps Sonic episode. Right tool, wrong URL parameter = N5, not N4."
AgentErrorBench,Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,Llama3.3-70B-Turbo,planning,1,planning,constraint_ignorance,P4,Constraint ignorance / unchecked assumption,process,Not enough reasoning based on the constraint,kept,,
AgentErrorBench,Llama3.3-70B-Turbo_005_memory_b000_t00_e04-5e8c1dcf,Llama3.3-70B-Turbo,system,1,system,tool_execution_error,N3,Tool execution or retrieval failure,node,error calling tool ,kept,,
AgentErrorBench,Llama3.3-70B-Turbo_006_memory_b000_t00_e05-c9015705,Llama3.3-70B-Turbo,reflection,6,reflection,progress_misjudge,P2,Progress misassessment,process,progress_misjudge by claiming that the agent has completed the task goal,kept,,
AgentErrorBench,Llama3.3-70B-Turbo_007_memory_b000_t00_e08-f572f2ad,Llama3.3-70B-Turbo,action,1,action,parameter_error,N5,Invalid tool parameters / input,node,Parameter error when calling tool,kept,,
AgentErrorBench,Llama3.3-70B-Turbo_008_memory_b000_t00_e09-f0557a9f,Llama3.3-70B-Turbo,planning,7,planning,impossible_action,P1,Improper task decomposition / bad plan,process,impossible_action by using the arxiv_paper_searcher tool to look for information about Bielefeld University Library's catalog system or how they handle articles under DDC 633.,kept,,
AgentErrorBench,Llama3.3-70B-Turbo_009_memory_b001_t00_e00-7743eba0,Llama3.3-70B-Turbo,memory,4,memory,hallucination,N1,Hallucination / factual fabrication,node,"hallucination by asserting that 'Tom Ridge, the first U.S. Secretary of Homeland Security, received his bachelor's degree from the University of Maryland UMBC.'",kept,,
AgentErrorBench,Llama3.3-70B-Turbo_010_memory_b001_t00_e01-7ab08a46,Llama3.3-70B-Turbo,memory,2,memory,over_simplification,P3,Cascading error (explicit propagation),process,"At step 2, the memory module over-simplified the context of the result",kept,,
AgentErrorBench,Llama3.3-70B-Turbo_011_memory_b001_t00_e02-8d639e26,Llama3.3-70B-Turbo,planning,3,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Inefficient plan by redo similar stuffs,kept,,
AgentErrorBench,Llama3.3-70B-Turbo_012_memory_b001_t00_e03-21a3a421,Llama3.3-70B-Turbo,reflection,4,reflection,outcome_misinterpretation,P2,Progress misassessment,process,Misinterpretation of the outcome,kept,,
AgentErrorBench,Llama3.3-70B-Turbo_013_memory_b001_t00_e04-5e8c1dcf,Llama3.3-70B-Turbo,reflection,2,reflection,progress_misjudge,P2,Progress misassessment,process,Progress_misjudge by claiming that the agent has completed the task goal,kept,,
AgentErrorBench,Llama3.3-70B-Turbo_014_memory_b001_t00_e05-c9015705,Llama3.3-70B-Turbo,system,4,system,tool_execution_error,N4,Wrong tool selection,node,impossible_action by using the python_code_generator tool for manual arithmetic,changed,N3,"Annotator: 'impossible_action by using the python_code_generator tool for manual arithmetic.' Python code cannot look up cuneiform symbol values; this is wrong tool selection (N4), not tool execution failure (N3)."
AgentErrorBench,Llama3.3-70B-Turbo_015_memory_b001_t00_e06-71f77595,Llama3.3-70B-Turbo,action,1,action,misalignment,N5,Malformed tool parameters,node,Hallucination by using the url_text_extractor tool on a GitHub issues search URL,changed,N4,"Agent used url_text_extractor (correct tool type) on a JS-rendered GitHub issues search URL that returns no extractable content. Tool type is appropriate; URL parameter is wrong for the tool's capability. N5 (wrong parameter), not N4 (wrong tool)."
AgentErrorBench,Llama3.3-70B-Turbo_016_memory_b001_t00_e07-f5b5d66a,Llama3.3-70B-Turbo,planning,8,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Inefficient plan by redo similar stuffs,kept,,
AgentErrorBench,Llama3.3-70B-Turbo_017_memory_b001_t00_e08-f572f2ad,Llama3.3-70B-Turbo,planning,2,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Inefficient plan by redo similar stuffs,kept,,
AgentErrorBench,Qwen3-8B_001_memory_b000_t00_e00-7743eba0,Qwen3-8B,planning,2,planning,impossible_action,P1,Improper task decomposition / bad plan,process,"URL extractor can not extract video content, description, or transcript from a YouTube page, and only returns generic site text. This is an unreasonable parameter choice for the task, as it cannot yield the critical information (track name) needed to proceed. This error ensured that the agent would not be able to identify the specific track, making it impossible to fulfill the user's request for the world record time of that track. All subsequent steps are built on the failure to acquire the track name, leading to speculation, inefficient search, and eventual hallucination.",kept,,
AgentErrorBench,Qwen3-8B_002_memory_b000_t00_e01-7ab08a46,Qwen3-8B,planning,4,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,The agent had not yet exhausted all plausible strategies for finding the Tropicos ID,kept,,
AgentErrorBench,Qwen3-8B_003_memory_b000_t00_e02-8d639e26,Qwen3-8B,planning,2,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Try extract the url but should not do that,kept,,
AgentErrorBench,Qwen3-8B_004_memory_b000_t00_e04-5e8c1dcf,Qwen3-8B,planning,1,planning,constraint_ignorance,P4,Constraint ignorance / unchecked assumption,process,Not fully satisfy the constraint,kept,,
AgentErrorBench,Qwen3-8B_005_memory_b000_t00_e05-c9015705,Qwen3-8B,planning,3,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Not fully satisfy the constraint,kept,,
AgentErrorBench,Qwen3-8B_006_memory_b000_t00_e06-71f77595,Qwen3-8B,system,1,system,llm_limit,N3,Tool execution or retrieval failure,node,LLM limit: not follow the instructions but directly give the answer in the last part,kept,,
AgentErrorBench,Qwen3-8B_007_memory_b000_t00_e07-f5b5d66a,Qwen3-8B,planning,2,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Make an low efficient plan that not success,kept,,
AgentErrorBench,Qwen3-8B_008_memory_b000_t00_e08-f572f2ad,Qwen3-8B,reflection,2,reflection,outcome_misinterpretation,P2,Progress misassessment,process,Misinterpret the search results,kept,,
AgentErrorBench,Qwen3-8B_009_memory_b000_t00_e09-f0557a9f,Qwen3-8B,planning,4,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Repetitive planning that not success,kept,,
AgentErrorBench,Qwen3-8B_010_memory_b001_t00_e00-7743eba0,Qwen3-8B,planning,1,planning,constraint_ignorance,P4,Constraint ignorance / unchecked assumption,process,Provide new information that not match the constraint,kept,,
AgentErrorBench,Qwen3-8B_011_memory_b001_t00_e01-7ab08a46,Qwen3-8B,system,5,system,tool_execution_error,N3,Tool execution or retrieval failure,node,Model not found for the request,kept,,
AgentErrorBench,Qwen3-8B_012_memory_b001_t00_e02-8d639e26,Qwen3-8B,planning,2,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Make an low efficient plan that not success,kept,,
AgentErrorBench,Qwen3-8B_013_memory_b001_t00_e03-21a3a421,Qwen3-8B,reflection,4,reflection,outcome_misinterpretation,P2,Progress misassessment,process,Error in reasoning the right information for the answer,kept,,
AgentErrorBench,Qwen3-8B_014_memory_b001_t00_e04-5e8c1dcf,Qwen3-8B,reflection,4,reflection,progress_misjudge,P2,Progress misassessment,process,Get the wrong information for the answer think it is success,kept,,
AgentErrorBench,Qwen3-8B_015_memory_b001_t00_e05-c9015705,Qwen3-8B,reflection,2,reflection,outcome_misinterpretation,P2,Progress misassessment,process,Misinterpret the meaning and grouping of the provided cuneiform symbols,kept,,
AgentErrorBench,Qwen3-8B_016_memory_b001_t00_e06-71f77595,Qwen3-8B,reflection,4,reflection,progress_misjudge,P2,Progress misassessment,process,Get the wrong information for the answer think it is success,kept,,
AgentErrorBench,Qwen3-8B_017_memory_b001_t00_e07-f5b5d66a,Qwen3-8B,planning,2,planning,inefficient_plan,P1,Improper task decomposition / bad plan,process,Make an low efficient plan that not success,kept,,
WhoAndWhen-HandCrafted,WW-HC-5f982798-16b9-4051-ab57-cfc7ebdb2a91,,WebSurfer,3,,,N3,Tool execution or retrieval failure,node,"WebSurfer's inability to reliably access the requested documents resulted in the overall task failure, as the necessary time span data could not be extracted or compared. This underscores the need for enhanced fallback mechanisms and more robust search strategies.",kept,,
WhoAndWhen-HandCrafted,WW-HC-ebbc1f13-d24d-40df-9068-adcf735b4240,,WebSurfer,8,,,FLAG,Requires further review,review,"WebSurfer misinterpreted or failed to retrieve the correct Latin root, leading to confusion in identifying the related Spanish word, thereby derailing subsequent steps.",changed,N1,"Critical step is a browser navigation action (typing search query), not a factual assertion. N1 cannot apply here; actual misidentification of Latin root occurs in a different step."
WhoAndWhen-HandCrafted,WW-HC-a1e91b78-d3d8-4675-bb8d-62741b4b68a6,,WebSurfer,8,,,P2,Progress misassessment,process,"The WebSurfer directly reaches a conclusion without performing the correct actions, such as taking a screenshot and extracting the bird species.",kept,,
WhoAndWhen-HandCrafted,WW-HC-08cae58d-4084-4616-b6dd-dd6534e4825b,,WebSurfer,4,,,P3,Cascading error (explicit propagation),process,"The page retrieved by WebSurfer does not provide relevant information to address the question, causing the Orchestrator to rely on its own assumptions and make a guess.",kept,,
WhoAndWhen-HandCrafted,WW-HC-8b3379c0-0981-4f5b-8407-6444610cb212,,WebSurfer,4,,,N5,Invalid tool parameters / input,node,The key word should include Monterey Bay Aquarium website.,kept,,
WhoAndWhen-HandCrafted,WW-HC-840bfca7-4f7b-481a-8794-c560c340185d,,WebSurfer,4,,,N3,Tool execution or retrieval failure,node,"WebSurfer encountered difficulties in locating and accessing the acknowledgment section of the paper, causing a delay in identifying the NASA award number associated with R.G. Arendt.",kept,,
WhoAndWhen-HandCrafted,WW-HC-0a3cd321-3e76-4622-911b-0fda2e5d6b1a,,Orchestrator,51,,,DROP,Annotation insufficient to classify,review,The Orchestrator writes incorrect code.,changed,N2,Outcome-only reasoning: 'The Orchestrator writes incorrect code.' No mechanism described.
WhoAndWhen-HandCrafted,WW-HC-1f975693-876d-457b-a649-393859e79bf3,,FileSurfer,5,,,N4,Wrong tool selection,node,"The agent should provide a transcription of the audio file to extract the page numbers, but it failed to transcribe the audio.",kept,,
WhoAndWhen-HandCrafted,WW-HC-114d5fd0-e2ae-4b6d-a65a-870da2d19c08,,FileSurfer,32,,,N3,Tool execution failure,node,FileSurfer didn't correctly extract the relevant information but directly gave a wrong answer.,changed,N1,"Critical step is a system-level traceback during file download ('Error processing publish message / Traceback...'). Tool execution failure (N3), not a factual assertion by the agent."
WhoAndWhen-HandCrafted,WW-HC-5d0080cb-90d7-4712-bc33-848150e917d3,,WebSurfer,4,,,N3,Tool execution or retrieval failure,node,WebSurfer failed to locate the specific volume in the University of Leicester paper due to incomplete data retrieval from the journal's website and insufficient progress in analyzing the full PDF.,kept,,
WhoAndWhen-HandCrafted,WW-HC-624cbf11-6a41-4692-af9c-36b3e5ca3130,,WebSurfer,24,,,P1,Improper task decomposition / bad plan,process,The agent should recognize that the website has clickable and expandable tabs containing the full rhyme for each flavor.,kept,,
WhoAndWhen-HandCrafted,WW-HC-16d825ff-1623-4176-a5b5-42e0f5c2b0ac,,WebSurfer,32,,,N3,Tool execution or retrieval failure,node,"The search tool does not return the desired information regarding the passenger count of each train in 2019. Therefore, the train with the highest number of passengers and its scheduled arrival time at Pompano Beach cannot be determined.",kept,,
WhoAndWhen-HandCrafted,WW-HC-72c06643-a2fa-4186-aa5c-9ec33ae9b445,,Assistant,51,,,FLAG,Requires further review,review,The assistant agent makes calculations with factual errors. The density of liquid Freon-12 under the required conditions is not provided. The calculation is based on an approximation of the density.,changed,N1,Step 51 content not found in history. Annotator mechanism ('approximation of density') matches P4 not N2. Cannot confirm cluster without visible step content.
WhoAndWhen-HandCrafted,WW-HC-2dfc4c37-fec1-4518-84a7-10095d30ad75,,Assistant,16,,,N1,Hallucination / factual fabrication,node,"When listing the top 10 domestic movies, the assistant omitted 'Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train' and included 'Wonder Woman 1984' instead. This led to an incorrect count of common movies between the two lists.",kept,,
WhoAndWhen-HandCrafted,WW-HC-a3fbeb63-0e8c-4a11-bff6-0e3b484c3e9c,,Orchestrator,20,,Processing Error,N3,Tool execution or retrieval failure,node,The Orchestrator encountered an error while processing the data.,kept,,
WhoAndWhen-HandCrafted,WW-HC-42576abe-0deb-4869-8c63-225c2d75a95a,,Orchestrator,1,,,P4,Constraint ignorance / unchecked assumption,process,The Orchestrator made an error when performing the translation.,changed,N1,Tizin translation task is self-contained (grammar rules provided in prompt). Failure is misapplying the provided morphological rules — a constraint-reasoning error (P4). No external facts were needed or fabricated (N1 does not apply).
WhoAndWhen-HandCrafted,WW-HC-42d4198c-5895-4f0a-b0c0-424a66465d83,,Orchestrator,18,,,P2,Progress misassessment,process,The Orchestrator should count the total number of revisions. The task has not yet been fully completed.,kept,,
WhoAndWhen-HandCrafted,WW-HC-72e110e7-464c-453c-a309-90a95aed6538,,WebSurfer,8,,,N3,Tool execution or retrieval failure,node,WebSurfer failed to provide useful information and encountered errors during the process.,kept,,
WhoAndWhen-HandCrafted,WW-HC-73c1b9fe-ee1d-4cf4-96ca-35c08f97b054,,WebSurfer,12,,wrong_reasoning,N3,Tool execution failure,node,It did not return anything useful.,changed,N3,"Override of prior FLAG entry. Browser click to USGS NAS page constitutes a tool invocation; page loaded but returned insufficient data for the task. Tool execution failure returning inadequate content = N3, consistent with canonical N3 definition."
WhoAndWhen-HandCrafted,WW-HC-0a65cb96-cb6e-4a6a-8aae-c1084f613456,,WebSurfer,32,,Tool failure,P1,Improper task decomposition / bad plan,process,The WebSurfer should find the clickable link to the APOD image for the first week of August 2015 and extract the city name from the image's description.,kept,,
WhoAndWhen-HandCrafted,WW-HC-56137764-b4e0-45b8-9c52-1866420c3df5,,WebSurfer,8,,,FLAG,Requires further review,review,"WebSurfer returned general and unrelated information due to poorly refined queries and failed to identify the specific version of OpenCV where Mask-RCNN support was added. This failure caused subsequent steps to proceed based on incorrect or incomplete data, leading to the wrong final answer.",changed,P3,Critical failure step 8 is not present in stored history (history length shorter than index). Annotator mechanism (poorly refined search queries leading to cascade) is plausible P3 but cannot be verified without the step content.
WhoAndWhen-HandCrafted,WW-HC-b816bfce-3d80-4913-a07d-69b752ce6377,,FileSurfer,4,,,P3,Cascading error (explicit propagation),process,"FileSurfer failed to access the article due to a 404 File Not Found error, leading to an incorrect guess (tricksy) instead of the correct word (fluffy) ",kept,,
WhoAndWhen-HandCrafted,WW-HC-8d46b8d6-b38a-47ff-ac74-cda14cf2d19b,,Orchestrator,14,,,DROP,Annotation insufficient to classify,review,The code is wrong.,changed,N2,Outcome-only reasoning: 'The code is wrong.' No mechanism described.
WhoAndWhen-HandCrafted,WW-HC-db4fd70a-2d37-40ea-873f-9433dc5e301f,,Assistant,12,,,DROP,Annotation insufficient to classify,review,The caculation is wrong.,changed,N2,Outcome-only reasoning: 'The caculation is wrong.' No mechanism described.
WhoAndWhen-HandCrafted,WW-HC-7673d772-ef80-4f0f-a602-1bf4485c9b43,,Orchestrator,29,,,P2,Progress misassessment,process,The Orchestrator should not directly draw a conclusion if enough information has not been gathered to answer the query. It should replan to address the query.,kept,,
WhoAndWhen-HandCrafted,WW-HC-a0c07678-e491-4bbc-8f0b-07405144218f,,WebSurfer,24,,,P4,Constraint ignorance / unchecked assumption,process,"The agent provides information about the current roster, but the question asks for the roster as of July 2023. THe agent should search for the roster of Hokkaido Nippon-Ham Fighters in 2023.",kept,,
WhoAndWhen-HandCrafted,WW-HC-ed58682d-bc52-4baa-9eb0-4eb81e1edacc,,WebSurfer,12,,,P2,Progress misassessment,process,The WebSurfer did not provide the correct OCR text for the lyrics of the song 'Human Nature' by Michael Jackson in the bing search results.,changed,N3,"Tool ran and returned search results; the OCR text returned was wrong, not absent. Misinterpretation of tool output (P2), not environment failure (N3)."
WhoAndWhen-HandCrafted,WW-HC-7619a514-5fa8-43ef-9143-83b66a43d7a4,,Orchestrator,22,,,FLAG,Requires further review,review,It failed to extract useful information from the Issue page.,changed,N3,Critical step shows system stall ('Stalled... Replanning...') with framework warnings. Mechanism ambiguous between N3 (context/system limit) and P2 (premature replanning). Reasoning too thin to confirm.
WhoAndWhen-HandCrafted,WW-HC-e2d69698-bc99-4e85-9880-67eaccd66e6c,,Orchestrator,25,,,P2,Progress misassessment,process,"The Orchestrator should not replan. The answer is in the previous step, while it should try to verify the birthdate of the provided winners one by one.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-f3917a3d-1d17-4ee2-90c5-683b072218fe,,WebServing_Expert,0,,,P1,Improper task decomposition / bad plan,process,The plan to solve the problem is incorrect.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-ec09fa32-d03f-4bf8-84b0-1f16922c3ae4,,Probability_Expert,1,,,N2,Code implementation bug,node,"The agent made an error in the simulation implementation, resulting in an incorrect outcome.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-b7f857e4-d8aa-4387-af2a-0e844df5b9d8,,PythonProgramming_Expert,5,,,N2,Code implementation bug,node,"The script failed to locate the C++ code on the webpage because it was not targeting the correct elements. Despite multiple attempts to extract the code, the specific structure or class of the C++ content was overlooked.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-9318445f-fe6a-4e1b-acbf-c68228c9906a,,ProblemSolving_Expert,2,,,P2,Progress misassessment,process,The expert misinterprets the output of the OCR function and provides the simplified fractions in an incorrect format.,changed,N1,Fractions were literally in OCR output (not fabricated). Annotator's 'misinterprets the output of the OCR function' maps to P2 per the extended definition's AGENTRX correspondence.
WhoAndWhen-AlgorithmGenerated,WW-AG-0512426f-4d28-49f0-be77-06d05daec096,,Narration_Expert,1,,,N5,Malformed tool parameters,node,The agent hallucinates the video ID and calls the tool with placeholder data. The task is not attempted.,changed,N1,Agent called get_youtube_caption with literal placeholder 'example_video_id'. Not an assertion of a fabricated fact (N1); fits N5 extended def: 'a URL that does not correspond to the target document.'
WhoAndWhen-AlgorithmGenerated,WW-AG-bfcd99e1-0690-4b53-a85c-0174a8629083,,TextExtraction_Expert,0,,,N2,Code implementation bug,node,The code is wrong.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-0383a3ee-47a7-41a4-b493-519bdefe0488,,AnimalBehavior_Expert,8,,,P2,Progress misassessment,process,The AnimalBehavior_Expert provides no useful information.,changed,N3,Agent never invoked a tool; declared 'I will now review the video' as productive work without having video-watching capability. Progress misassessment of own capability and state.
WhoAndWhen-AlgorithmGenerated,WW-AG-e1fc63a2-da7a-432f-be78-7c4a95598703,,Marathon_Expert,4,,,N2,Code implementation bug,node,"The agent made a mistake in rounding the calculated time to the nearest 1,000 hours. The calculated time was approximately 16,788.35 hours, which should have been rounded to 17,000 hours. However, the agent incorrectly rounded the value to 16,000 hours instead.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-48eb8242-1099-4c26-95d4-ef22b002457a,,DataAnalysis_Expert,8,,,N5,Malformed tool parameters,node,The agent failed to locate the correct URL for the dataset from the USGS Nonindigenous Aquatic Species database.,changed,N3,"Agent drafted curl with a fabricated USGS URL that does not correspond to any real endpoint. Input-formation failure, not environment failure."
WhoAndWhen-AlgorithmGenerated,WW-AG-46719c30-f4c3-4cad-be07-d5cb21eee6bb,,AcademicPublication_Expert,5,,,N1,Hallucination / factual fabrication,node,The expert failed to identify the correct title of the first paper authored by Pietro Murano.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-023e9d44-96ae-4eed-b912-244ee8c3b994,,Validation_Expert,5,,,P4,Constraint ignorance / unchecked assumption,process,"The conversation did not verify the exact recycling rate from the Wikipedia link, which was a crucial step in validating the total amount of money. Assumptions based on general knowledge were made instead of confirming the specific rate from Wikipedia.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-3ff6b7a9-a5bd-4412-ad92-0cd0d45c0fee,,Statistics_Expert,4,,,P4,Constraint ignorance / unchecked assumption,process,"The step assumed the extracted population value (56,583) was the 2020 estimate without verifying its accuracy or time frame, leading to an incorrect interpretation.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-08f3a05f-5947-4089-a4c4-d4bcfaa6b7a0,,Verification_Expert,3,,,N2,Code implementation bug,node,The agent wrote incorrect code to calculate the desired value.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-50ec8903-b81f-4257-9450-1085afd2c319,,Cubing_Expert,1,,,DROP,Annotation insufficient to classify,review,The answer provided by Cubing_Expert was incorrect.,changed,N1,Reasoning 'The answer provided by X was incorrect' is identical in form to the 4 rows previously dropped as too thin to classify. Dropping for consistency. Dataset size: 154 → 153.
WhoAndWhen-AlgorithmGenerated,WW-AG-e29834fd-413a-455c-a33e-c3915b07401c,,DataAnalysis_Expert,3,,,P3,Cascading error (explicit propagation),process,"The expert wrote code with bugs, leading the following experts to follow the same method for extracting winner information in an incorrect way.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-0bb3b44a-ede5-4db5-a520-4e844b0079c5,,Mesopotamian_Number_Systems_Expert,1,,,N1,Hallucination / factual fabrication,node,"The conversion process from the Babylonian number system to decimal numbers is flawed, which would result in an incorrect calculation.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-d1af70ea-a9a4-421a-b9cc-94b5e02f1788,,Validation_Expert,5,,,N1,Hallucination / factual fabrication,node,"The agent fabricated the population figures for Seattle and Colville, resulting in an incorrect calculation of the population difference.",kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-2a649bb1-795f-4a01-b3be-9a01868dae73,,PythonDebugging_Expert,0,,,P1,Improper task decomposition / bad plan,process,The agent provided information that is completely irrelevant to the problems.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-27d5d136-8563-469e-92bf-fd103c28b57c,,PythonDebugging_Expert,0,,,P1,Improper task decomposition / bad plan,process,The proposed method to solve the problem is incorrect because no Python code is provided.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-cca530fc-4052-43b2-b130-b30968d8aa44,,Chess_Expert,7,,,P2,Progress misassessment,process,The agent directly reaches a conclusion without taking any actual actions.,kept,,
WhoAndWhen-AlgorithmGenerated,WW-AG-7d4a7d1d-cac6-44a8-96e8-ea9584a70825,,WomenInComputerScienceHistory_Expert,3,,,P4,Constraint ignorance / unchecked assumption,process,"The WomenInComputerScienceHistory_Expert did not extract the correct information. The end year should be 2017, not 2022.",changed,N1,"Agent received 'today' from tool output (another agent's search result) and assigned 2022 as the year without verifying the publication date of the Girls Who Code source. Unverified temporal scoping of a retrieved value — P4, not N1 fabrication."
